URL,NAME,PRICES,RATING,REVIEWS
https://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF/ref=sxin_15_trfob_5_B08WWTHLTF?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08WWTHLTF&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a,,[''],5.0 out of 5 stars,
https://www.amazon.in/AmazonBasics-Foldable-Travel-Duffel-27-inch/dp/B01J24HEE4/ref=sxin_15_trfob_6_B01J24HEE4?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B01J24HEE4&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a,,[''],4.4 out of 5 stars,
https://www.amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP/ref=sxin_15_trfob_7_B08YP5HQVP?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YP5HQVP&pd_rd_r=08470a19-579c-41ab-a6d6-f7153be0c6f1&pd_rd_w=6XyqU&pd_rd_wg=s64hj&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=KZBF31YX9C8K07768309&qid=1685022663&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,,[''],5.0 out of 5 stars,
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-6,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","['1,299']",4.2 out of 5 stars,203
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-7,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),['499'],3.9 out of 5 stars,801
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-8,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",['699'],4.0 out of 5 stars,"4,022"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-9,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),['248'],4.0 out of 5 stars,"19,025"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-10,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","['1,299']",4.3 out of 5 stars,194
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjk0MTgzNjI4MDExNTk2OjE2ODUwMjI2NjM6c3BfbXRmOjIwMDM0Mzk5OTYwNDk4OjowOjo&url=%2FHalf-Moon-Waterproof-Backpack-Students%2Fdp%2FB085MHDJ93%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1685022663%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",['529'],3.9 out of 5 stars,"15,923"
https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685022663&sprefix=ba%2Caps%2C283&sr=8-13,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)",['599'],3.8 out of 5 stars,"2,034"
